Squadron Name;Insignia;Nickname;Command;Air Force;Wing;Date First Activated;Base;Aircraft;Tail Code
9th Bomb Squadron;;Bats;Air Force Global Strike Command;Eighth Air Force;7 BW;14 June 1917;Dyess AFB, Texas;B-1B;DY
11th Bomb Squadron;;Jiggs Squadron;Air Force Global Strike Command;Eighth Air Force;2 BW;26 June 1917;Barksdale AFB, Louisiana;B-52H;LA
13th Bomb Squadron;;Grim Reapers;Air Force Global Strike Command;Eighth Air Force;509 BW;14 June 1917;Whiteman AFB, Missouri;B-2;WM
20th Bomb Squadron;;Buccaneers;Air Force Global Strike Command;Eighth Air Force;2 BW;26 June 1917;Barksdale AFB, Louisiana;B-52H;LA
23rd Bomb Squadron;;Bomber Barons;Air Force Global Strike Command;Eighth Air Force;5 BW;16 June 1917;Minot AFB, North Dakota;B-52H;MT
28th Bomb Squadron;;;Air Force Global Strike Command;Eighth Air Force;7 BW;22 June 1917;Dyess AFB, Texas;B-1B;DY
34th Bomb Squadron;;Thunderbirds;Air Force Global Strike Command;Eighth Air Force;28 BW;11 June 1917;Ellsworth AFB, South Dakota;B-1B;EL
37th Bomb Squadron;;Tigers;Air Force Global Strike Command;Eighth Air Force;28 BW;13 June 1917;Ellsworth AFB, South Dakota;B-1B;EL
69th Bomb Squadron;;Knighthawks;Air Force Global Strike Command;Eighth Air Force;5 BW;29 November 1940;Minot AFB, North Dakota;B-52H;MT
93rd Bomb Squadron;;;Air Force Reserve Command;Tenth Air Force;307 BW;21 August 1917;Barksdale AFB, Louisiana;B-52H;BD
96th Bomb Squadron;;Red Devils;Air Force Global Strike Command;Eighth Air Force;2 BW;20 August 1917;Barksdale AFB, Louisiana;B-52H;LA
110th Bomb Squadron;;Lindbergh's Own;Missouri Air National Guard;;131 BW;14 Aug 1917;Whiteman AFB, Missouri;B-2A;WM
343rd Bomb Squadron;;Avengers;Air Force Reserve Command;Tenth Air Force;307 BW;28 January 1942;Barksdale AFB, Louisiana;B-52H;LA
345th Bomb Squadron;;;Air Force Reserve Command;Tenth Air Force;307 BW;3 February 1942;Dyess AFB, Texas;B-1B;DY
393rd Bomb Squadron;;Tigers;Air Force Global Strike Command;Eighth Air Force;509 BW;11 March 1944;Whiteman AFB, Missouri;B-2A;WM
6th Attack Squadron;;;Air Education and Training Command;Nineteenth Air Force;49 WG;1 August 1943;Holloman AFB, New Mexico;MQ-9;
9th Attack Squadron;;;Air Education and Training Command;Nineteenth Air Force;49 WG;15 January 1941;Holloman AFB, New Mexico;MQ-9;
11th Attack Squadron;;;Air Combat Command;Fifteenth Air Force;432 WG;2 March 1942;Creech AFB, Nevada;MQ-9;
15th Attack Squadron;;;Air Combat Command;Fifteenth Air Force;432 WG;9 May 1917;Creech AFB, Nevada;MQ-9;
17th Attack Squadron;;;Air Combat Command;Fifteenth Air Force;432 WG;23 July 1942;Creech AFB, Nevada;MQ-9;
20th Attack Squadron;;Hellhounds;Air Combat Command;Fifteenth Air Force;432 WG;15 December 1940;Whiteman AFB, Missouri;MQ-9;
22nd Attack Squadron;;;Air Combat Command;Fifteenth Air Force;432 WG;15 January 1941;Creech AFB, Nevada;MQ-9;
29th Attack Squadron;;;Air Education and Training Command;Nineteenth Air Force;49 WG;10 March 1942;Holloman AFB, New Mexico;MQ-9;
50th Attack Squadron;;;Air Combat Command;Fifteenth Air Force;432 WG;6 August 1917;Shaw AFB, South Carolina;MQ-9;
78th Attack Squadron;;;Air Force Reserve Command;Tenth Air Force;926 WG;28 February 1918;Creech AFB, Nevada;MQ-9;
89th Attack Squadron;;;Air Combat Command;Fifteenth Air Force;432 WG;19 August 1917;Ellsworth AFB, South Dakota;MQ-9;
91st Attack Squadron;;;Air Force Reserve Command;Tenth Air Force;926 WG;9 February 1942;Creech AFB, Nevada;MQ-9;
103rd Attack Squadron;;;Pennsylvania Air National Guard;;111 ATKW;27 June 1924;Biddle ANGB, Pennsylvania;MQ-9;
105th Attack Squadron;;Old Hickory Squadron;Tennessee Air National Guard;;118 WG;27 August 1917;Berry Field ANGB, Tennessee;MQ-9;
108th Attack Squadron;;;New York Air National Guard;;174 ATKW;22 November 1948;Hancock Field ANGB, New York;MQ-9;
111th Attack Squadron;;;Texas Air National Guard;;147 ATKW;14 August 1917;Ellington Field JRB, Texas;MQ-9;
124th Attack Squadron;;;Iowa Air National Guard;;132 WG;25 February 1941;Des Moines ANGB, Iowa;MQ-9;
136th Attack Squadron;;;New York Air National Guard;;107 ATKW;10 August 1943;Niagara Falls ARS, New York;MQ-9;
138th Attack Squadron;;;New York Air National Guard;;174 ATKW;10 August 1942;Hancock Field ANGB, New York;MQ-9;
160th Attack Squadron;;;California Air National Guard;;163 ATKW;;March ARB, California;MQ-9;
